Episode 0, Goal reached at timestep: 722, States explored: 12, Total reward: -135.10003656384197
Episode 1, Goal reached at timestep: 223, States explored: 14, Total reward: -53.811318917948604
Episode 2, Goal reached at timestep: 395, States explored: 16, Total reward: -91.75977443664874
Episode 3, Goal reached at timestep: 1621, States explored: 21, Total reward: -307.27920383361885
Episode 4, Goal reached at timestep: 498, States explored: 21, Total reward: -102.56244076996465
Episode 5, Goal reached at timestep: 403, States explored: 21, Total reward: -61.85437799718792
Episode 6, Goal reached at timestep: 2356, States explored: 23, Total reward: -400.7814817986436
Episode 7, Goal reached at timestep: 1042, States explored: 24, Total reward: -206.0676291868898
Episode 8, Goal reached at timestep: 1385, States explored: 24, Total reward: -253.3192572864256
Episode 9, Goal reached at timestep: 1137, States explored: 25, Total reward: -241.91806745705819
Episode 10, Goal reached at timestep: 3068, States explored: 29, Total reward: -600.297759072395
Episode 11, Goal reached at timestep: 14129, States explored: 30, Total reward: -2193.4957225962366
Episode 12, Goal reached at timestep: 388, States explored: 31, Total reward: -83.5918037345308
Episode 13, Goal reached at timestep: 2089, States explored: 32, Total reward: -350.42437159038764
Episode 14, Goal reached at timestep: 1770, States explored: 32, Total reward: -294.2682758495002
Episode 15, Goal reached at timestep: 313, States explored: 32, Total reward: -55.681846779780194
Episode 16, Goal reached at timestep: 242, States explored: 34, Total reward: -65.06253681331316
Episode 17, Goal reached at timestep: 1083, States explored: 34, Total reward: -187.23210751808554
Episode 18, Goal reached at timestep: 8647, States explored: 34, Total reward: -1219.34124549654
Episode 19, Goal reached at timestep: 2499, States explored: 34, Total reward: -363.7848649789809
Episode 20, Goal reached at timestep: 2121, States explored: 34, Total reward: -334.79717636441507
Episode 21, Goal reached at timestep: 172, States explored: 34, Total reward: -35.10689954800397
Episode 22, Goal reached at timestep: 1461, States explored: 34, Total reward: -235.12357759538355
Episode 23, Goal reached at timestep: 2828, States explored: 34, Total reward: -484.00709050532373
Episode 24, Goal reached at timestep: 548, States explored: 34, Total reward: -117.84130674218842
Episode 25, Goal reached at timestep: 1044, States explored: 35, Total reward: -193.19023724700446
Episode 26, Goal reached at timestep: 1060, States explored: 35, Total reward: -176.81175106468217
Episode 27, Goal reached at timestep: 521, States explored: 35, Total reward: -98.48114667900056
Episode 28, Goal reached at timestep: 1459, States explored: 35, Total reward: -309.27227292771147
Episode 29, Goal reached at timestep: 569, States explored: 35, Total reward: -105.17235892244226
Episode 30, Goal reached at timestep: 2853, States explored: 36, Total reward: -422.5367381560784
Episode 31, Goal reached at timestep: 1384, States explored: 36, Total reward: -262.28615201072625
Episode 32, Goal reached at timestep: 484, States explored: 36, Total reward: -78.6842243730904
Episode 33, Goal reached at timestep: 1545, States explored: 37, Total reward: -269.7789673493252
Episode 34, Goal reached at timestep: 856, States explored: 37, Total reward: -162.17392091845306
Episode 35, Goal reached at timestep: 4803, States explored: 37, Total reward: -734.1817127273587
Episode 36, Goal reached at timestep: 1165, States explored: 37, Total reward: -211.31703194936875
Episode 37, Goal reached at timestep: 1317, States explored: 37, Total reward: -254.282930618959
Episode 38, Goal reached at timestep: 233, States explored: 37, Total reward: -47.54948847863338
Episode 39, Goal reached at timestep: 8199, States explored: 37, Total reward: -1192.7975481559586
Episode 40, Goal reached at timestep: 4589, States explored: 37, Total reward: -682.9400520670405
Episode 41, Goal reached at timestep: 668, States explored: 37, Total reward: -125.54880232600422
Episode 42, Goal reached at timestep: 418, States explored: 37, Total reward: -74.59928901303581
Episode 43, Goal reached at timestep: 5079, States explored: 37, Total reward: -777.8388547030106
Episode 44, Goal reached at timestep: 529, States explored: 37, Total reward: -137.28746361530355
Episode 45, Goal reached at timestep: 302, States explored: 37, Total reward: -92.3611735568124
Episode 46, Goal reached at timestep: 1083, States explored: 37, Total reward: -178.74726449003467
Episode 47, Goal reached at timestep: 1166, States explored: 37, Total reward: -357.79690956588945
Episode 48, Goal reached at timestep: 1593, States explored: 37, Total reward: -289.87994836096556
Episode 49, Goal reached at timestep: 1931, States explored: 37, Total reward: -331.2952195769717
Episode 50, Goal reached at timestep: 1797, States explored: 38, Total reward: -301.59981039265926
Episode 51, Goal reached at timestep: 5555, States explored: 39, Total reward: -840.7261310773129
Episode 52, Goal reached at timestep: 224, States explored: 39, Total reward: -40.38104554405565
Episode 53, Goal reached at timestep: 3300, States explored: 39, Total reward: -558.1357090188206
Episode 54, Goal reached at timestep: 314, States explored: 39, Total reward: -48.34074919176493
Episode 55, Goal reached at timestep: 91, States explored: 39, Total reward: -20.208602224451212
Episode 56, Goal reached at timestep: 433, States explored: 39, Total reward: -82.48512853161674
Episode 57, Goal reached at timestep: 549, States explored: 40, Total reward: -103.79925919993603
Episode 58, Goal reached at timestep: 3574, States explored: 40, Total reward: -529.1791745199245
Episode 59, Goal reached at timestep: 630, States explored: 40, Total reward: -116.92583416472004
Episode 60, Goal reached at timestep: 184, States explored: 40, Total reward: -48.83160041793607
Episode 61, Goal reached at timestep: 1108, States explored: 40, Total reward: -187.72095518556398
Episode 62, Goal reached at timestep: 685, States explored: 40, Total reward: -182.32222640376173
Episode 63, Goal reached at timestep: 332, States explored: 40, Total reward: -60.996944243176976
Episode 64, Goal reached at timestep: 3138, States explored: 40, Total reward: -492.3108244550402
Episode 65, Goal reached at timestep: 1713, States explored: 40, Total reward: -279.6937760234522
Episode 66, Goal reached at timestep: 229, States explored: 41, Total reward: -49.57786632948182
Episode 67, Goal reached at timestep: 3392, States explored: 41, Total reward: -526.3261695814963
Episode 68, Goal reached at timestep: 205, States explored: 42, Total reward: -56.98879442190131
Episode 69, Goal reached at timestep: 1294, States explored: 42, Total reward: -348.7039785299083
