Episode 0, Goal reached at timestep: 245, States explored: 10, Total reward: -52.03272243692508
Episode 1, Goal reached at timestep: 984, States explored: 14, Total reward: -200.67526331266174
Episode 2, Goal reached at timestep: 921, States explored: 25, Total reward: -197.5428702346204
Episode 3, Goal reached at timestep: 107, States explored: 26, Total reward: -23.369532903042717
Episode 4, Goal reached at timestep: 443, States explored: 28, Total reward: -90.3249477279572
Episode 5, Goal reached at timestep: 270, States explored: 28, Total reward: -50.092214178849176
Episode 6, Goal reached at timestep: 288, States explored: 31, Total reward: -60.09689314934746
Episode 7, Goal reached at timestep: 385, States explored: 33, Total reward: -96.88456460600212
Episode 8, Goal reached at timestep: 427, States explored: 34, Total reward: -70.41628392145213
Episode 9, Goal reached at timestep: 121, States explored: 34, Total reward: -26.958962272124843
Episode 10, Goal reached at timestep: 104, States explored: 34, Total reward: -27.01299690513057
Episode 11, Goal reached at timestep: 307, States explored: 34, Total reward: -80.27780367564066
Episode 12, Goal reached at timestep: 221, States explored: 35, Total reward: -53.87616618797494
Episode 13, Goal reached at timestep: 175, States explored: 35, Total reward: -45.30639025533905
Episode 14, Goal reached at timestep: 85, States explored: 35, Total reward: -18.01046987145435
Episode 15, Goal reached at timestep: 154, States explored: 35, Total reward: -27.82330262389386
Episode 16, Goal reached at timestep: 157, States explored: 35, Total reward: -36.28607776115894
Episode 17, Goal reached at timestep: 281, States explored: 36, Total reward: -77.92540242083206
Episode 18, Goal reached at timestep: 167, States explored: 37, Total reward: -38.02145944940768
Episode 19, Goal reached at timestep: 456, States explored: 37, Total reward: -87.51085175423295
Episode 20, Goal reached at timestep: 168, States explored: 37, Total reward: -44.36152702696192
Episode 21, Goal reached at timestep: 67, States explored: 38, Total reward: -17.749587764427545
Episode 22, Goal reached at timestep: 312, States explored: 38, Total reward: -108.54178764536113
Episode 23, Goal reached at timestep: 462, States explored: 38, Total reward: -97.6860342278648
Episode 24, Goal reached at timestep: 223, States explored: 39, Total reward: -51.01149261675423
Episode 25, Goal reached at timestep: 203, States explored: 40, Total reward: -57.14937131516658
Episode 26, Goal reached at timestep: 232, States explored: 42, Total reward: -63.45384294643002
Episode 27, Goal reached at timestep: 390, States explored: 42, Total reward: -85.61452655871486
Episode 28, Goal reached at timestep: 698, States explored: 44, Total reward: -137.78140751522074
Episode 29, Goal reached at timestep: 245, States explored: 44, Total reward: -55.725329916649414
Episode 30, Goal reached at timestep: 251, States explored: 44, Total reward: -55.23822620880019
Episode 31, Goal reached at timestep: 406, States explored: 45, Total reward: -95.53466373220336
Episode 32, Goal reached at timestep: 156, States explored: 45, Total reward: -36.95550146843936
Episode 33, Goal reached at timestep: 477, States explored: 45, Total reward: -90.9876744969984
Episode 34, Goal reached at timestep: 264, States explored: 45, Total reward: -60.59596654898492
Episode 35, Goal reached at timestep: 148, States explored: 45, Total reward: -33.32600524506428
Episode 36, Goal reached at timestep: 891, States explored: 46, Total reward: -171.23662668664537
Episode 37, Goal reached at timestep: 117, States explored: 46, Total reward: -29.29583824317674
Episode 38, Goal reached at timestep: 320, States explored: 46, Total reward: -61.897901457968324
Episode 39, Goal reached at timestep: 174, States explored: 46, Total reward: -45.72743017253014
Episode 40, Goal reached at timestep: 226, States explored: 46, Total reward: -61.213125517010184
Episode 41, Goal reached at timestep: 462, States explored: 47, Total reward: -130.39673317328706
Episode 42, Goal reached at timestep: 309, States explored: 47, Total reward: -74.893410686071
Episode 43, Goal reached at timestep: 145, States explored: 47, Total reward: -33.69476168163762
Episode 44, Goal reached at timestep: 253, States explored: 47, Total reward: -75.93493829348583
Episode 45, Goal reached at timestep: 131, States explored: 47, Total reward: -24.98900105941068
Episode 46, Goal reached at timestep: 113, States explored: 47, Total reward: -28.684222256113124
Episode 47, Goal reached at timestep: 452, States explored: 48, Total reward: -111.05315209435174
Episode 48, Goal reached at timestep: 202, States explored: 48, Total reward: -51.09809310663963
Episode 49, Goal reached at timestep: 315, States explored: 48, Total reward: -84.98093630748053
Episode 50, Goal reached at timestep: 346, States explored: 48, Total reward: -84.61913226434454
Episode 51, Goal reached at timestep: 356, States explored: 48, Total reward: -69.12764084128003
Episode 52, Goal reached at timestep: 1093, States explored: 48, Total reward: -210.67740900149377
Episode 53, Goal reached at timestep: 420, States explored: 48, Total reward: -83.4167507703913
Episode 54, Goal reached at timestep: 280, States explored: 48, Total reward: -48.40078915307755
Episode 55, Goal reached at timestep: 171, States explored: 48, Total reward: -39.15837020057247
Episode 56, Goal reached at timestep: 402, States explored: 48, Total reward: -91.652143310414
Episode 57, Goal reached at timestep: 223, States explored: 48, Total reward: -37.702007879004114
Episode 58, Goal reached at timestep: 98, States explored: 48, Total reward: -19.303480845551288
Episode 59, Goal reached at timestep: 338, States explored: 48, Total reward: -82.42418304713237
Episode 60, Goal reached at timestep: 259, States explored: 48, Total reward: -81.40156454981903
Episode 61, Goal reached at timestep: 227, States explored: 48, Total reward: -48.4183712610467
Episode 62, Goal reached at timestep: 633, States explored: 49, Total reward: -120.6365953386112
Episode 63, Goal reached at timestep: 435, States explored: 49, Total reward: -96.4282696461256
Episode 64, Goal reached at timestep: 821, States explored: 49, Total reward: -168.094106941996
Episode 65, Goal reached at timestep: 1112, States explored: 49, Total reward: -208.72835298640385
Episode 66, Goal reached at timestep: 195, States explored: 49, Total reward: -42.69367503740182
Episode 67, Goal reached at timestep: 661, States explored: 49, Total reward: -158.34601179747085
Episode 68, Goal reached at timestep: 439, States explored: 49, Total reward: -109.5551449008186
Episode 69, Goal reached at timestep: 161, States explored: 49, Total reward: -38.8061600646373
Episode 70, Goal reached at timestep: 131, States explored: 49, Total reward: -29.48666068066259
Episode 71, Goal reached at timestep: 821, States explored: 49, Total reward: -169.49068739836738
Episode 72, Goal reached at timestep: 185, States explored: 50, Total reward: -48.27333374720025
Episode 73, Goal reached at timestep: 1413, States explored: 56, Total reward: -358.69199796716725
Episode 74, Goal reached at timestep: 145, States explored: 56, Total reward: -31.174730727322085
Episode 75, Goal reached at timestep: 1903, States explored: 57, Total reward: -398.72098948943506
Episode 76, Goal reached at timestep: 79, States explored: 57, Total reward: -16.627419438387285
Episode 77, Goal reached at timestep: 377, States explored: 57, Total reward: -108.6613345381408
