Episode 0, Goal reached at timestep: 3469, States explored: 18, Total reward: -624.0194310919253
Episode 1, Goal reached at timestep: 786, States explored: 20, Total reward: -133.66405771416123
Episode 2, Goal reached at timestep: 175, States explored: 23, Total reward: -39.36088067136633
Episode 3, Goal reached at timestep: 627, States explored: 29, Total reward: -170.14595551129455
Episode 4, Goal reached at timestep: 201, States explored: 32, Total reward: -57.77304449668061
Episode 5, Goal reached at timestep: 175, States explored: 32, Total reward: -47.25497576508013
Episode 6, Goal reached at timestep: 334, States explored: 36, Total reward: -80.22263797860595
Episode 7, Goal reached at timestep: 139, States explored: 36, Total reward: -39.67450016428185
Episode 8, Goal reached at timestep: 177, States explored: 39, Total reward: -35.00873337075248
Episode 9, Goal reached at timestep: 236, States explored: 40, Total reward: -50.432699833039365
Episode 10, Goal reached at timestep: 125, States explored: 40, Total reward: -33.468405764391036
Episode 11, Goal reached at timestep: 316, States explored: 41, Total reward: -79.56991012436558
Episode 12, Goal reached at timestep: 329, States explored: 41, Total reward: -91.33522009809947
Episode 13, Goal reached at timestep: 90, States explored: 42, Total reward: -23.822665669101156
Episode 14, Goal reached at timestep: 166, States explored: 42, Total reward: -38.278191448113844
Episode 15, Goal reached at timestep: 165, States explored: 42, Total reward: -43.80330116266097
Episode 16, Goal reached at timestep: 326, States explored: 45, Total reward: -87.21796262585339
Episode 17, Goal reached at timestep: 222, States explored: 45, Total reward: -48.8730716171678
Episode 18, Goal reached at timestep: 346, States explored: 46, Total reward: -102.8162040410134
Episode 19, Goal reached at timestep: 482, States explored: 46, Total reward: -134.64894345351794
Episode 20, Goal reached at timestep: 143, States explored: 46, Total reward: -41.159535994045605
Episode 21, Goal reached at timestep: 2397, States explored: 46, Total reward: -448.460481703966
Episode 22, Goal reached at timestep: 201, States explored: 46, Total reward: -59.099870919406776
Episode 23, Goal reached at timestep: 260, States explored: 46, Total reward: -66.51227471408107
Episode 24, Goal reached at timestep: 143, States explored: 46, Total reward: -30.12102589708174
Episode 25, Goal reached at timestep: 225, States explored: 46, Total reward: -52.81262504452661
Episode 26, Goal reached at timestep: 126, States explored: 46, Total reward: -26.689943969467958
Episode 27, Goal reached at timestep: 140, States explored: 46, Total reward: -31.27469801251405
Episode 28, Goal reached at timestep: 244, States explored: 46, Total reward: -61.29816145440506
Episode 29, Goal reached at timestep: 1021, States explored: 46, Total reward: -181.34089264309333
Episode 30, Goal reached at timestep: 342, States explored: 47, Total reward: -89.90111461243161
Episode 31, Goal reached at timestep: 275, States explored: 47, Total reward: -57.22572964787247
Episode 32, Goal reached at timestep: 94, States explored: 47, Total reward: -22.991831412615884
Episode 33, Goal reached at timestep: 785, States explored: 47, Total reward: -183.64957891330008
Episode 34, Goal reached at timestep: 741, States explored: 48, Total reward: -141.370123277528
Episode 35, Goal reached at timestep: 449, States explored: 49, Total reward: -116.17209926554885
Episode 36, Goal reached at timestep: 121, States explored: 49, Total reward: -26.253447789682873
Episode 37, Goal reached at timestep: 77, States explored: 49, Total reward: -17.61676538016926
Episode 38, Goal reached at timestep: 435, States explored: 49, Total reward: -115.31375904613661
Episode 39, Goal reached at timestep: 241, States explored: 49, Total reward: -57.02339763322941
